iter	Passed	Remaining
0	4	455
1	6	340
2	8	290
3	10	256
4	13	262
5	15	237
6	16	215
7	17	200
8	18	189
9	19	179
10	21	171
11	22	164
12	23	159
13	24	152
14	25	146
15	27	144
16	28	140
17	29	136
18	30	131
19	31	127
20	32	123
21	33	119
22	34	115
23	35	112
24	36	109
25	37	106
26	38	104
27	39	101
28	40	99
29	41	96
30	42	94
31	43	92
32	44	90
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	50	78
39	51	76
40	52	75
41	53	73
42	54	71
43	54	69
44	55	68
45	57	67
46	58	66
47	59	64
48	60	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	89	29
75	93	29
76	95	28
77	97	27
78	99	26
79	102	25
80	103	24
81	104	23
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	121	0
