iter	Passed	Remaining
0	147	147234
1	148	74078
2	149	49698
3	151	37654
4	167	33402
5	176	29185
6	179	25459
7	182	22593
8	191	21064
9	193	19119
10	194	17515
11	197	16243
12	201	15267
13	203	14321
14	204	13450
15	206	12683
16	207	12014
17	209	11422
18	210	10883
19	216	10620
20	218	10169
21	229	10213
22	231	9853
23	233	9496
24	235	9195
25	237	8900
26	241	8687
27	246	8545
28	247	8289
29	249	8070
30	251	7846
31	252	7634
32	254	7456
33	255	7270
34	265	7312
35	266	7137
36	268	6975
37	270	6840
38	272	6715
39	287	6893
40	288	6752
41	296	6770
42	298	6638
43	299	6511
44	301	6393
45	304	6318
46	309	6273
47	311	6171
48	330	6406
49	331	6299
50	333	6197
51	334	6106
52	336	6018
53	339	5947
54	343	5894
55	344	5808
56	346	5726
57	347	5644
58	348	5565
59	350	5491
60	353	5437
61	355	5375
62	357	5309
63	358	5245
64	360	5179
65	361	5116
66	375	5223
67	376	5159
68	380	5131
69	381	5069
70	384	5035
71	388	5004
72	391	4968
73	392	4909
74	397	4904
75	399	4855
76	402	4825
77	403	4771
78	404	4721
79	406	4671
80	408	4629
81	423	4739
82	425	4699
83	427	4657
84	436	4693
85	437	4649
86	439	4610
87	440	4570
88	443	4539
89	444	4499
90	447	4467
91	450	4445
92	452	4413
93	454	4376
94	455	4338
95	457	4303
96	458	4269
97	463	4265
98	476	4335
99	496	4465
100	502	4470
101	504	4442
102	505	4404
103	507	4369
104	510	4348
105	511	4314
106	513	4284
107	514	4248
108	515	4213
109	516	4180
110	518	4149
111	519	4115
112	520	4083
113	522	4057
114	523	4029
115	524	3999
116	525	3966
117	526	3936
118	528	3911
119	529	3883
120	530	3855
121	531	3825
122	536	3824
123	537	3799
124	538	3771
125	539	3744
126	540	3716
127	541	3690
128	542	3664
129	543	3638
130	544	3613
131	551	3624
132	552	3599
133	553	3575
134	554	3552
135	555	3531
136	556	3508
137	558	3487
138	559	3468
139	561	3448
140	566	3453
141	567	3429
142	568	3407
143	569	3386
144	570	3364
145	571	3343
146	573	3325
147	574	3306
148	575	3287
149	576	3267
150	578	3253
151	580	3238
152	581	3220
153	582	3201
154	583	3181
155	584	3162
156	585	3143
157	586	3125
158	587	3108
159	588	3091
160	589	3072
161	591	3057
162	593	3046
163	595	3033
164	595	3015
165	596	2998
166	597	2981
167	598	2964
168	599	2948
169	600	2934
170	602	2920
171	603	2904
172	604	2888
173	605	2872
174	605	2856
175	608	2850
176	610	2839
177	611	2825
178	612	2811
179	614	2799
180	615	2786
181	617	2774
182	618	2760
183	619	2746
184	620	2733
185	626	2739
186	628	2730
187	629	2718
188	630	2707
189	632	2694
190	633	2683
191	635	2673
192	638	2668
193	644	2675
194	646	2669
195	649	2663
196	650	2652
197	656	2658
198	658	2649
199	659	2637
200	660	2625
201	661	2614
202	663	2603
203	664	2592
204	665	2581
205	667	2572
206	671	2572
207	672	2561
208	673	2549
209	674	2538
210	675	2527
211	676	2515
212	677	2504
213	678	2493
214	688	2514
215	691	2509
216	693	2503
217	695	2493
218	696	2482
219	700	2482
220	702	2475
221	703	2466
222	705	2458
223	707	2449
224	709	2444
225	710	2433
226	711	2423
227	717	2430
228	719	2422
229	721	2414
230	722	2406
231	724	2397
232	725	2388
233	727	2382
234	730	2376
235	732	2370
236	733	2361
237	734	2353
238	736	2344
239	737	2335
240	741	2336
241	743	2328
242	745	2322
243	746	2313
244	747	2304
245	749	2298
246	751	2289
247	752	2281
248	754	2274
249	756	2269
250	758	2262
251	759	2255
252	761	2248
253	763	2242
254	765	2236
255	767	2231
256	770	2228
257	773	2223
258	775	2218
259	777	2211
260	778	2205
261	780	2198
262	782	2192
263	786	2191
264	787	2183
265	788	2175
266	791	2173
267	793	2166
268	794	2158
269	795	2150
270	796	2142
271	799	2139
272	801	2133
273	803	2127
274	804	2120
275	806	2114
276	807	2107
277	808	2100
278	809	2092
279	811	2086
280	815	2085
281	816	2079
282	817	2072
283	819	2064
284	820	2059
285	821	2051
286	823	2045
287	825	2040
288	827	2034
289	832	2038
290	834	2032
291	835	2024
292	836	2018
293	838	2014
294	839	2007
295	840	1999
296	841	1992
297	845	1990
298	849	1992
299	855	1996
300	857	1992
301	858	1985
302	860	1980
303	868	1987
304	869	1981
305	870	1974
306	872	1970
307	874	1965
308	875	1958
309	877	1952
310	879	1948
311	881	1943
312	882	1937
313	883	1930
314	884	1923
315	885	1916
316	886	1909
317	887	1903
318	888	1896
319	889	1889
320	890	1883
321	891	1876
322	896	1878
323	897	1872
324	898	1866
325	899	1860
326	900	1854
327	901	1847
328	902	1841
329	903	1834
330	904	1827
331	905	1821
332	906	1815
333	909	1813
334	910	1807
335	911	1801
336	912	1795
337	913	1789
338	914	1783
339	915	1777
340	916	1771
341	917	1766
342	918	1760
343	920	1754
344	921	1749
345	923	1745
346	925	1740
347	926	1735
348	927	1729
349	928	1723
350	929	1717
351	929	1711
352	930	1705
353	932	1700
354	933	1695
355	936	1694
356	938	1690
357	939	1685
358	940	1679
359	941	1673
360	942	1667
361	943	1662
362	944	1657
363	945	1651
364	946	1646
365	947	1641
366	948	1635
367	949	1629
368	950	1624
369	951	1620
370	953	1616
371	954	1611
372	955	1605
373	956	1600
374	956	1594
375	957	1589
376	958	1584
377	960	1580
378	961	1575
379	962	1570
380	963	1565
381	964	1559
382	966	1556
383	967	1551
384	968	1546
385	969	1541
386	970	1537
387	971	1532
388	972	1527
389	973	1522
390	974	1517
391	975	1512
392	975	1507
393	976	1502
394	977	1497
395	979	1493
396	980	1489
397	981	1485
398	982	1480
399	983	1475
400	984	1470
401	985	1466
402	986	1461
403	987	1457
404	988	1452
405	989	1447
406	990	1443
407	991	1438
408	992	1433
409	993	1429
410	993	1424
411	995	1420
412	997	1417
413	998	1412
414	999	1408
415	999	1403
416	1000	1399
417	1001	1394
418	1002	1390
419	1003	1386
420	1004	1381
421	1005	1377
422	1006	1373
423	1007	1368
424	1008	1364
425	1010	1361
426	1011	1357
427	1012	1352
428	1013	1348
429	1014	1345
430	1015	1341
431	1017	1337
432	1018	1333
433	1018	1328
434	1019	1324
435	1020	1320
436	1021	1315
437	1022	1311
438	1023	1308
439	1026	1306
440	1027	1302
441	1028	1298
442	1029	1294
443	1030	1291
444	1032	1288
445	1034	1284
446	1035	1280
447	1036	1277
448	1037	1273
449	1038	1269
450	1040	1266
451	1041	1262
452	1042	1258
453	1044	1256
454	1045	1252
455	1050	1253
456	1051	1249
457	1052	1245
458	1054	1242
459	1055	1238
460	1056	1234
461	1057	1231
462	1058	1227
463	1059	1223
464	1060	1219
465	1061	1216
466	1062	1212
467	1063	1208
468	1064	1204
469	1065	1201
470	1066	1197
471	1069	1196
472	1070	1193
473	1072	1189
474	1072	1185
475	1073	1182
476	1075	1178
477	1076	1175
478	1077	1171
479	1078	1168
480	1079	1164
481	1080	1161
482	1081	1157
483	1085	1157
484	1086	1154
485	1088	1150
486	1089	1147
487	1090	1144
488	1094	1143
489	1096	1141
490	1100	1140
491	1101	1137
492	1103	1135
493	1105	1131
494	1106	1128
495	1107	1125
496	1108	1122
497	1110	1119
498	1111	1116
499	1114	1114
500	1115	1111
501	1116	1107
502	1117	1104
503	1118	1100
504	1119	1097
505	1120	1094
506	1121	1090
507	1122	1087
508	1124	1084
509	1125	1081
510	1126	1078
511	1131	1078
512	1132	1075
513	1133	1071
514	1134	1068
515	1135	1064
516	1136	1061
517	1137	1058
518	1138	1055
519	1139	1052
520	1140	1048
521	1141	1045
522	1143	1042
523	1144	1039
524	1145	1036
525	1146	1033
526	1147	1030
527	1148	1026
528	1149	1023
529	1150	1020
530	1151	1017
531	1152	1013
532	1153	1010
533	1154	1007
534	1154	1003
535	1156	1001
536	1158	998
537	1159	995
538	1160	992
539	1161	989
540	1162	986
541	1163	983
542	1164	979
543	1166	977
544	1166	974
545	1167	971
546	1168	967
547	1169	964
548	1170	961
549	1171	958
550	1173	956
551	1174	953
552	1175	950
553	1176	947
554	1177	944
555	1178	941
556	1179	938
557	1180	935
558	1181	932
559	1183	929
560	1184	926
561	1184	923
562	1185	920
563	1186	917
564	1188	914
565	1189	912
566	1190	909
567	1191	906
568	1193	903
569	1194	900
570	1195	898
571	1196	895
572	1197	892
573	1198	889
574	1199	886
575	1200	883
576	1201	881
577	1203	878
578	1204	876
579	1206	873
580	1207	870
581	1208	867
582	1209	865
583	1210	862
584	1211	859
585	1212	856
586	1212	853
587	1213	850
588	1214	847
589	1215	844
590	1217	842
591	1219	840
592	1220	837
593	1221	834
594	1222	832
595	1223	829
596	1224	826
597	1225	823
598	1225	820
599	1227	818
600	1228	815
601	1228	812
602	1229	809
603	1230	806
604	1232	804
605	1233	801
606	1234	799
607	1235	796
608	1236	793
609	1237	791
610	1238	788
611	1239	785
612	1239	782
613	1240	780
614	1241	777
615	1242	774
616	1243	771
617	1244	769
618	1247	767
619	1248	765
620	1249	762
621	1250	759
622	1251	757
623	1251	754
624	1253	751
625	1254	749
626	1254	746
627	1255	743
628	1257	741
629	1257	738
630	1258	736
631	1259	733
632	1262	731
633	1263	729
634	1264	726
635	1265	724
636	1266	721
637	1266	718
638	1267	716
639	1268	713
640	1269	711
641	1270	708
642	1271	706
643	1272	703
644	1274	701
645	1276	699
646	1277	697
647	1278	694
648	1279	692
649	1280	689
650	1281	687
651	1282	684
652	1283	682
653	1284	679
654	1285	677
655	1286	674
656	1288	672
657	1289	670
658	1292	668
659	1293	666
660	1294	664
661	1295	661
662	1296	659
663	1299	657
664	1300	654
665	1301	652
666	1302	650
667	1303	647
668	1304	645
669	1307	644
670	1309	641
671	1310	639
672	1311	637
673	1313	635
674	1314	632
675	1315	630
676	1317	628
677	1318	626
678	1322	625
679	1325	623
680	1326	621
681	1327	619
682	1328	616
683	1330	614
684	1331	612
685	1332	610
686	1334	608
687	1336	606
688	1337	603
689	1340	602
690	1341	600
691	1343	597
692	1344	595
693	1346	593
694	1347	591
695	1348	589
696	1349	586
697	1353	585
698	1355	583
699	1356	581
700	1358	579
701	1361	577
702	1362	575
703	1363	573
704	1366	571
705	1368	569
706	1369	567
707	1371	565
708	1372	563
709	1373	560
710	1374	558
711	1375	556
712	1376	554
713	1377	551
714	1379	549
715	1381	547
716	1382	545
717	1383	543
718	1385	541
719	1388	539
720	1390	537
721	1391	535
722	1392	533
723	1393	531
